config_id,n,n_with_e2e,dar,p50_e2e_ms,p95_e2e_ms,max_e2e_ms,mean_total_tokens,mean_cost_usd,total_cost_usd
cfg_gemini,47,45,1.0,2145.7261399991694,9209.9812496006,35015.56598700154,1140.6808510638298,,0.0
cfg_gemini_ka30m,10,10,1.0,2113.9273029994,7259.26042549926,11205.1304839988,1195.4,,0.0
cfg_gemini_kaoff,10,10,1.0,2214.203351000833,3700.1445921490804,3983.81316799896,1204.5,,0.0
cfg_gemini_mtok256,10,10,1.0,2331.0412564997023,3653.1982204006445,4036.439536001126,1169.6,,0.0
cfg_gemini_mtok512,10,10,1.0,2447.036593000121,6038.337233449783,6292.430165000042,1175.4,,0.0
cfg_ollama,56,56,1.0,8794.607083000301,9629.190558000118,15981.20968100011,1653.232142857143,0.0,0.0
cfg_ollama_ka30m,10,10,1.0,12108.915543499279,15539.148936900523,17940.163643999767,1620.1,0.0,0.0
cfg_ollama_kaoff,10,10,1.0,12516.172772500795,20560.128390299622,25559.681069998987,1570.7,0.0,0.0
cfg_ollama_mtok256,10,10,1.0,6208.604552500219,10983.429100549794,13724.807608999981,1362.3,0.0,0.0
cfg_ollama_mtok512,10,10,1.0,10642.238593999537,12431.485413849714,12578.523600999688,1596.5,0.0,0.0
gemini,29,1,0.7142857142857143,4651.899999999907,4651.899999999907,4651.899999999907,1331.2727272727273,0.00013805799999999998,0.00069029
ollama,33,1,0.6666666666666666,6997.399999999907,6997.399999999907,6997.399999999907,1794.0434782608695,0.0,0.0
